route,segment_bundle_id,bundle_status,bundle_action,source_surface,blocker_class,blocker_action,required_evidence,next_artifact,optimizer_effect,closure_status,validation_status
I270,US.HWYBUNDLE.3951F9F995CA2C3F,needs-stop-chain,author zone-bounded stops before bundle geometry,t2-terminal-contact-validation,endpoint-exception-upgrade,prove-terminal-exception-or-demote,terminal-worthy endpoint exception under T2 endpoint standard,data/tier-node-exceptions.csv,blocked from T2 unless endpoint exception is upgraded or route demotes,open,review
I22,US.HWYBUNDLE.9CC789DC10417A5A,bundle-ready,use bundle as service join surface,t2-graph-contact-repairs,graph-contact-repair,repair-route-geometry-or-demote,prove at least one T1/T2 graph contact or demotion basis,data/tier-contact-witnesses.csv,blocked until graph contact evidence exists,open,review
I30,US.HWYBUNDLE.EC4232DB6107A48C,bundle-ready,use bundle as service join surface,t2-graph-contact-repairs,graph-contact-repair,repair-route-geometry-or-demote,prove at least one T1/T2 graph contact or demotion basis,data/tier-contact-witnesses.csv,blocked until graph contact evidence exists,open,review
I37,US.HWYBUNDLE.9CCA86DC1043AB18,needs-stop-chain,author zone-bounded stops before bundle geometry,t2-graph-contact-repairs,graph-contact-repair,repair-route-geometry-or-demote,prove at least one T1/T2 graph contact or demotion basis,data/tier-contact-witnesses.csv,blocked until graph contact evidence exists,open,review
I44,US.HWYBUNDLE.EC3F30DB61056B4F,bundle-ready,use bundle as service join surface,t2-graph-contact-repairs,graph-contact-repair,repair-route-geometry-or-demote,prove at least one T1/T2 graph contact or demotion basis,data/tier-contact-witnesses.csv,blocked until graph contact evidence exists,open,review
I49,US.HWYBUNDLE.879FDF25B892844F,bundle-ready,use bundle as service join surface,t2-graph-contact-repairs,graph-contact-repair,repair-route-geometry-or-demote,prove at least one T1/T2 graph contact or demotion basis,data/tier-contact-witnesses.csv,blocked until graph contact evidence exists,open,review
I24,US.HWYBUNDLE.9CC783DC10417028,bundle-ready,use bundle as service join surface,t2-parent-contact-validation,parent-contact-repair,prove-parent-contact-or-demote,dual-route contact to named parent trunk,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until parent contact exists,open,review
I495,,bundle-missing,resolve route family or add segment bundle,t2-parent-contact-validation,parent-contact-repair,prove-parent-contact-or-demote,dual-route contact to named parent trunk,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until parent contact exists,open,review
I285,,bundle-missing,resolve route family or add segment bundle,t2-relief-evidence-docket,relief-contact-repair,source-observed-relief-review,atri-bottleneck-route-match,data/tier-contact-witnesses.csv,retain relief review only after contact repair validates,evidence-observed,review
I405,,bundle-missing,resolve route family or add segment bundle,t2-relief-evidence-docket,relief-contact-repair,source-observed-relief-review,atri-bottleneck-route-match,data/tier-contact-witnesses.csv,retain relief review only after contact repair validates,evidence-observed,review
I195,,bundle-missing,resolve route family or add segment bundle,t2-graph-contact-repairs,route-family-split,split-numbered-route-family-before-tier-decision,identify represented segment and its T1/T2 contacts,data/tier-node-exceptions.csv,blocked until route family is disambiguated,open,review
I205,US.HWYBUNDLE.8DE7F0A5D6E5FF68,needs-terminal-stop,complete terminal stop chain before service geometry,t2-graph-contact-repairs,route-family-split,split-numbered-route-family-before-tier-decision,identify represented segment and its T1/T2 contacts,data/tier-node-exceptions.csv,blocked until route family is disambiguated,open,review
I295,US.HWYBUNDLE.F5365118969C1988,needs-terminal-stop,complete terminal stop chain before service geometry,t2-graph-contact-repairs,route-family-split,split-numbered-route-family-before-tier-decision,identify represented segment and its T1/T2 contacts,data/tier-node-exceptions.csv,blocked until route family is disambiguated,open,review
I25,US.HWYBUNDLE.09AF27B5A419364E,bundle-ready,use bundle as service join surface,t2-terminal-contact-validation,terminal-contact-repair,prove-terminal-contact-or-demote,terminal endpoint plus at least one T1/T2 contact chain,data/tier-contact-witnesses.csv,blocked from T2 until graph contact validates,open,review
I65,US.HWYBUNDLE.9CB9F4DC1035F2CF,bundle-ready,use bundle as service join surface,t2-terminal-contact-validation,terminal-contact-repair,prove-terminal-contact-or-demote,terminal endpoint plus at least one T1/T2 contact chain,data/tier-contact-witnesses.csv,blocked from T2 until graph contact validates,open,review
