row_type,zone_id,zone_title,id,label,class,tier,status,route,stop_ids,special_lane,project_id,project_name,cost_band,effect,evidence_status
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,MEM,Memphis,S2,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,LR,Little Rock,S2,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,JOP,Joplin,S3,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,KC,Kansas City,S2,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,STL,St. Louis,S2,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,TUL,Tulsa,S3,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,GNV,Greenville MS,S4?,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,JBR,Jonesboro,S4?,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,FSM,Fort Smith,S4?,,,,,,,,,,
stop,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,SGF,Springfield,S4?,,,,,,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,I-55,I-55,,T1,passing,I-55,STL;MEM,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,I-40,I-40,,T1,passing,I-40,MEM;LR;FSM,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,I-44,I-44,,T2,passing,I-44,STL;SGF;TUL,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,I-49,I-49,,T2,passing,I-49,KC;JOP;FSM,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-49,US-49,,T3,blocked,US-49,MEM;GNV;LR,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-51,US-51,,T3,blocked,US-51,STL;MEM;GNV,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-61,US-61,,T3,blocked,US-61,STL;MEM,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-63,US-63,,T3,blocked,US-63,KC;JBR;MEM,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-65,US-65,,T3,blocked,US-65,KC;SGF;LR,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-69,US-69,,T3,blocked,US-69,KC;TUL;FSM,none,,,,,
line,T3ZMIDSOUTH,Mid-South / Delta / Ozarks,US-412,US-412,,T3,blocked,US-412,JOP;TUL;LR,restitch-candidate,regional-restitch-candidate,Regional restitch candidate,planning-study,tests whether a blocked feeder should connect,candidate
