review_id,queue_id,route,zone_id,terminal_district_seed,terminal_district_seed_source,evidence_status_before,review_decision,review_reason,source_action,blocker_claims_before,blocker_claims_after,claim_blocker_delta,next_artifact,validation_status
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI115,T4CONTACT-T3GREATLAKES-I115,I-115,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI129,T4CONTACT-T3GREATLAKES-I129,I-129,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTI135,T4CONTACT-T3MOUNTAINWEST-I135,I-135,t3-mountain-west,Kansas City Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTI140,T4CONTACT-T3SOUTHEAST-I140,I-140,t3-southeast,Savannah Garden City,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHI169,T4CONTACT-T3MIDSOUTH-I169,I-169,t3-mid-south,Kansas City Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTI175,T4CONTACT-T3SOUTHEAST-I175,I-175,t3-southeast,Miami Hialeah,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI176,T4CONTACT-T3GREATLAKES-I176,I-176,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI180,T4CONTACT-T3GREATLAKES-I180,I-180,t3-great-lakes,St. Louis Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHI181,T4CONTACT-T3MIDSOUTH-I181,I-181,t3-mid-south,Louisville KentuckyOne,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTI185,T4CONTACT-T3SOUTHEAST-I185,I-185,t3-southeast,Atlanta Hulsey,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
