policy_id,review_id,decision_id,target_id,route,segment_bundle_id,repair_class,service_repair_class,evidence_artifact,required_evidence,evidence_policy_decision,policy_treatment,blocker_claims_before,blocker_claims_after,blocker_count_before,blocker_count_after,claim_blocker_delta,next_artifact,validation_status
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,I110,US.HWYBUNDLE.D6B01122CB05A1BA,service-class,local-zone,data/t3-t4-pressure-intake.csv,accepted-local-zone-overlay-handoff,bundle-evidence-policy-authored-review,hold game/ops claims until local-zone overlay handoff is accepted or explicitly carried,game;incident;publication;sla;transit;upgrade,game;incident;publication;sla;transit;upgrade,6,6,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,I195,US.HWYBUNDLE.F09BBE026AC0506F,service-class,service-overlay,data/game/t2-service-overlays.csv,accepted-service-overlay-classification,bundle-evidence-policy-authored-review,hold game/ops claims until service-overlay classification is accepted,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,I205,US.HWYBUNDLE.23CC0D7CE82B5A66,service-class,local-zone,data/t3-t4-pressure-intake.csv,accepted-local-zone-overlay-handoff,bundle-evidence-policy-authored-review,hold game/ops claims until local-zone overlay handoff is accepted or explicitly carried,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,I220,US.HWYBUNDLE.3940FBF995BBBC72,stop-chain,service-overlay,data/game/t2-service-overlays.csv,accepted-stop-chain-repair-or-demotion,bundle-evidence-policy-authored-review,hold game/ops claims until stop-chain repair is accepted or demoted,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,I225,US.HWYBUNDLE.04673225D03E1ABF,service-class,local-zone,data/t3-t4-pressure-intake.csv,accepted-local-zone-overlay-handoff,bundle-evidence-policy-authored-review,hold game/ops claims until local-zone overlay handoff is accepted or explicitly carried,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,I240,US.HWYBUNDLE.A6BC2D367A84A052,service-class,local-zone,data/t3-t4-pressure-intake.csv,accepted-local-zone-overlay-handoff,bundle-evidence-policy-authored-review,hold game/ops claims until local-zone overlay handoff is accepted or explicitly carried,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,I264,US.HWYBUNDLE.394EF7F995C7F302,stop-chain,local-zone,data/t3-t4-pressure-intake.csv,accepted-stop-chain-repair-or-demotion,bundle-evidence-policy-authored-review,hold game/ops claims until stop-chain repair is accepted or demoted,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,I270,US.HWYBUNDLE.3951F9F995CA2C3F,stop-chain,service-overlay,data/game/t2-service-overlays.csv,accepted-stop-chain-repair-or-demotion,bundle-evidence-policy-authored-review,hold game/ops claims until stop-chain repair is accepted or demoted,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,I275,US.HWYBUNDLE.3951F4F995CA23C0,stop-chain,service-overlay,data/game/t2-service-overlays.csv,accepted-stop-chain-repair-or-demotion,bundle-evidence-policy-authored-review,hold game/ops claims until stop-chain repair is accepted or demoted,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,stitched-member,service-overlay,data/game/t2-service-overlays.csv,accepted-stitched-member-proof-review,bundle-evidence-policy-authored-review,hold game/ops claims until stitched-member proof is accepted or explicitly carried,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
T2GAMEOPSBUNDLEPOLICY-T2GAMEOPSBUNDLEEVIDENCEREVIEWT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,T2GAMEOPSBUNDLEEVIDENCEREVIEW-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,I37,US.HWYBUNDLE.9CCA86DC1043AB18,stop-chain,not-service-class,data/national-segment-registry.csv,accepted-stop-chain-repair-or-demotion,bundle-evidence-policy-authored-review,hold game/ops claims until stop-chain repair is accepted or demoted,game;incident;publication;upgrade,game;incident;publication;upgrade,4,4,0,data/t2-game-ops-bundle-evidence-policy-acceptance.csv,review
