standard_id,tier,standard_family,standard,outcome,mechanism,primary_stressor,acceptance_gate,evidence_level,current_artifact,blocking_gap,next_command_or_test,owner_track
T1-OPS-PTI,T1,throughput,"PTI <= 1.15 freight lanes; <= 1.30 GP","predictable shipper planning window","separated freight lanes plus incident bypass and relay operations","peak demand plus ordinary incidents","p95/free-flow PTI meets target in normal and adverse scenarios","Heuristic","route standards-test; route od ny-la; research/publications/C.1+od-freight-reliability","NPMRDS direct PTI measurement is still required; BPR-derived PTI is not publication-grade","L2: standards-test fixture with NPMRDS/queueing sensitivity","C.1"
T1-OPS-FREIGHT-LANES,T1,throughput,"2 dedicated freight lanes per direction, physically separated","freight throughput and reliability","removes freight from GP weave and lets freight bypass incidents where designed","urban peak congestion and interchange incidents","managed-lane scenario improves p95 and does not create a worse downstream bottleneck","Heuristic","route interventions; route standards-test; crates/route-sim/src/scenarios/atlanta-peak.toml","Demand, toll take-up, and downstream merge capacity are not calibrated","L2: managed-lane sensitivity by demand and toll take-up","C.1"
T1-OPS-WIM,T1,operations,"WIM/PrePass on all T1 weigh stations","delay reduction and enforcement without stopping freight","mainline WIM plus credential preclearance","inspection delay and weigh-station queues","delay component is bounded and enforcement coverage does not reduce throughput below SLA","Planned","specs/2026-05-06-tier-standards.md","No weigh-station inventory or delay model joined","L1: WIM inventory artifact; L2: delay sensitivity","E.2"
T1-OPS-SPEED,T1,throughput,"65 mph sustained truck design speed","free-flow time and relay feasibility","geometry and access control support steady truck speed","mountain grades, urban weave, weather","corridor segment free-flow assumptions match observed or engineering design constraints","Heuristic","data/od-corridors.toml; route od","Segment speeds are mostly modeled assumptions","L1: speed-source table; L2: observed speed sensitivity","C.1"
T1-EV-PASSENGER,T1,energy,"150 kW passenger DCFC every 50 miles, 8 chargers","energy availability for passenger and bus trips","dense charger spacing plus redundancy","station outage, rural long gaps, peak queue","100% T1 miles within 50 miles of qualifying active station at required uptime","Heuristic","route ev-analysis; data/ev-profiles.toml","Station inventory/uptime is not authoritative","L1: charger coverage artifact; L2: outage sensitivity","E.2"
T1-EV-TRUCK,T1,energy,"350 kW truck charging at freight terminals and every 150 miles","electric freight feasibility","terminal charging integrated with relay/rest stops","charger outage and queue during surge","truck profile completes target corridors without exceeding dwell/relay window","Heuristic","route ev-analysis; data/ev-profiles.toml","Megawatt-class truck charger inventory is planned/proxy","L2: truck charge queue and outage scenario","F"
T1-REST,T1,operations,"full rest areas every 100 miles with 50 truck spaces","HOS compliance, safety, and relay support","predictable legal rest/parking supply","parking saturation, closure, staffing outage","truck parking and rest stops support modeled relay/HOS windows under peak demand","Planned","specs/2026-05-06-tier-standards.md","Rest-area and truck-parking inventory not joined","L1: rest/truck-parking gap report; L2: parking saturation scenario","F"
T1-TRANSIT-HUB,T1,transit,"T1/T1 hubs: 8 platforms, 2000 parking, <=2h bus headways","passenger access and driver relay workforce movement","use diamond cores as intercity transfer nodes","hub outage, missed transfer, peak demand","hub design supports bus/relay flows without degrading freight SLA","Heuristic","route passenger-matrix; route hub-staff; specs/2026-05-06-interstate-2-design.md","Passenger demand and hub geometry are not validated","L2: hub outage and transfer reliability scenario","F"
T1-DIAMOND-K,T1,resilience,"k >= 3 at all T1/T1 intersections within 50-mile zone","remove single point of failure at national freight junctions","distributed edge-disjoint transfer paths","full or partial T1/T1 interchange closure","baseline and post-build k are manually validated; post-build k >= 3","Heuristic","route diamond all; data/t1-intersections.md; data/t1-intersection-failures.csv; research/publications/B.4+t1-intersection-resilience","TIGER snapping/manual validation and empirical closure probability for top sites are blocking paper gaps","L0: k-connectivity fixture; L1: validated top-5 intersection and failure-rate ledgers","B.4"
T1-FLYOVER,T1,resilience,"dedicated express freight flyovers at each T1/T1 diamond","protect freight-only transfer capacity from local traffic capture","direct access-controlled freight connections","local traffic growth, connector congestion, interchange closure","freight transfer retains target capacity when connector roads are congested or closed","Planned","specs/2026-05-06-tier-standards.md; specs/2026-05-06-interstate-2-design.md","No ramp geometry, cost component, or capacity model per site","L2: T1/T1 diamond flyover throughput scenario; L3: design review","B.4"
