pilot_id,node_id,label,lon,lat,node_class,need_tags,evidence_label,boundary
canada-service-network,YVR,Vancouver,-123.12,49.28,port_gateway,port;pacific_trade;western_terminal,heuristic-held,fixture centroid only; source custody required before claims
canada-service-network,CGY,Calgary,-114.07,51.05,logistics_hub,western_distribution;mountain_gateway,heuristic-held,fixture centroid only; source custody required before claims
canada-service-network,WPG,Winnipeg,-97.14,49.90,inland_hub,prairie_gateway;rail_truck_transfer,heuristic-held,fixture centroid only; source custody required before claims
canada-service-network,TOR,Toronto,-79.38,43.65,metro_gateway,great_lakes_market;industrial_access,heuristic-held,fixture centroid only; source custody required before claims
canada-service-network,MTL,Montreal,-73.57,45.50,port_gateway,atlantic_trade;great_lakes_st_lawrence,heuristic-held,fixture centroid only; source custody required before claims
canada-service-network,HFX,Halifax,-63.58,44.65,port_gateway,atlantic_terminal;resilience_gateway,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,RTM,Rotterdam,4.48,51.92,port_gateway,north_sea_port;freight_gateway,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,ANR,Antwerp,4.40,51.22,port_gateway,port_cluster;cross_border_freight,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,CGN,Cologne,6.96,50.94,metro_logistics,rhine_industrial;inland_hub,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,FRA,Frankfurt,8.68,50.11,metro_logistics,air_rail_road_hub;finance_market,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,BSL,Basel,7.59,47.56,border_hub,swiss_gateway;rhine_crossing,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,MIL,Milan,9.19,45.46,metro_logistics,northern_italy_market;industrial_access,heuristic-held,fixture centroid only; source custody required before claims
eu-rhine-alpine-region,GOA,Genoa,8.93,44.41,port_gateway,mediterranean_port;alpine_access,heuristic-held,fixture centroid only; source custody required before claims
india-logistics-spine,DEL,Delhi,77.21,28.61,national_capital,north_market;administrative_hub,heuristic-held,fixture centroid only; source custody required before claims
india-logistics-spine,JAI,Jaipur,75.79,26.91,regional_hub,industrial_corridor;desert_access,heuristic-held,fixture centroid only; source custody required before claims
india-logistics-spine,AMD,Ahmedabad,72.57,23.02,industrial_hub,western_industry;port_hinterland,heuristic-held,fixture centroid only; source custody required before claims
india-logistics-spine,MUM,Mumbai,72.88,19.08,port_gateway,port;finance_market;western_terminal,heuristic-held,fixture centroid only; source custody required before claims
india-logistics-spine,PUN,Pune,73.86,18.52,industrial_hub,manufacturing;metro_relief,heuristic-held,fixture centroid only; source custody required before claims
india-logistics-spine,CHN,Chennai,80.27,13.08,port_gateway,south_port;industrial_market,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,TKY,Tokyo,139.69,35.68,metro_gateway,capital_region;port_market,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,NGY,Nagoya,136.91,35.18,industrial_hub,manufacturing;central_japan,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,OSA,Osaka,135.50,34.69,metro_gateway,kansai_market;port_cluster,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,KOB,Kobe,135.19,34.69,port_gateway,port;terminal_access,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,HIR,Hiroshima,132.46,34.39,regional_hub,western_honshu;resilience_access,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,FUK,Fukuoka,130.40,33.59,metro_gateway,kyushu_gateway;port_market,heuristic-held,fixture centroid only; source custody required before claims
japan-pacific-belt,SEN,Sendai,140.87,38.27,resilience_hub,tohoku_access;disruption_recovery,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,BEI,Beijing,116.41,39.90,national_capital,north_market;administrative_hub,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,TJN,Tianjin,117.20,39.12,port_gateway,north_port;capital_gateway,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,SHG,Shanghai,121.47,31.23,port_gateway,yangtze_delta;global_port,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,NKG,Nanjing,118.80,32.06,inland_hub,yangtze_inland;regional_market,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,WUH,Wuhan,114.31,30.59,inland_hub,yangtze_midstream;central_market,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,CHQ,Chongqing,106.55,29.56,inland_hub,western_gateway;upper_yangtze,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,GZ,Guangzhou,113.26,23.13,metro_gateway,pearl_river_delta;manufacturing,heuristic-held,fixture centroid only; source custody required before claims
china-logistics-spine,SZX,Shenzhen,114.06,22.54,port_gateway,pearl_river_delta;export_gateway,heuristic-held,fixture centroid only; source custody required before claims
