disposition_id,target_id,route,segment_bundle_id,bundle_status,service_class,readiness_class,disposition,disposition_action,required_artifact,next_artifact,blocks_claims,validation_status
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,I220,US.HWYBUNDLE.3940FBF995BBBC72,needs-stop-chain,unclassified,stop-chain,held,repair-service-class-before-stop-chain-pass,data/game/t2-service-overlays.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,I264,US.HWYBUNDLE.394EF7F995C7F302,needs-stop-chain,unclassified,stop-chain,held,repair-service-class-before-stop-chain-pass,data/game/t2-service-overlays.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,I270,US.HWYBUNDLE.3951F9F995CA2C3F,needs-stop-chain,unclassified,stop-chain,held,repair-service-class-before-stop-chain-pass,data/game/t2-service-overlays.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,I275,US.HWYBUNDLE.3951F4F995CA23C0,needs-stop-chain,unclassified,stop-chain,held,repair-service-class-before-stop-chain-pass,data/game/t2-service-overlays.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,needs-stitched-members,unclassified,stitched-member,repair-needed,stitch-member-segments-before-bundle-pass,data/tier-segment-candidates.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,I37,US.HWYBUNDLE.9CCA86DC1043AB18,needs-stop-chain,compact-service,stop-chain,repair-needed,author-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEC1E1B532E4FE8371,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEC1E1B532E4FE8371,I610,US.HWYBUNDLE.C1E1B532E4FE8371,needs-terminal-stop,unclassified,terminal-stop,repair-needed,author-terminal-stop-before-bundle-pass,data/t2-service-selection.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE174D6918A9C2A6B2,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE174D6918A9C2A6B2,I635,US.HWYBUNDLE.174D6918A9C2A6B2,needs-stop-chain,unclassified,stop-chain,held,repair-service-class-before-stop-chain-pass,data/game/t2-service-overlays.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4B,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4B,I664,US.HWYBUNDLE.151E853156D7ED4B,needs-stitched-members,unclassified,stitched-member,repair-needed,stitch-member-segments-before-bundle-pass,data/tier-segment-candidates.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
T2BUNDLEREADINESS-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE172214B51AB61796,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE172214B51AB61796,US2,US.HWYBUNDLE.172214B51AB61796,needs-stop-chain,unclassified,stop-chain,held,repair-service-class-before-stop-chain-pass,data/game/t2-service-overlays.csv,data/national-segment-bundles.csv,game;incident;publication;upgrade,review
