state,tier,source_family,route_count,affected_routes,bundle_count,affected_bundles,blocked_member_count,source_priority,acquisition_action,required_fields,next_artifact,optimizer_effect,validation_status
AL,T2,HPMS IRI plus state pavement condition feed,2,I110;US80,2,US.HWYBUNDLE.621B7445F38FA059;US.HWYBUNDLE.D6B6E222CB0B708B,9,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
AR,T2,HPMS IRI plus state pavement condition feed,1,US70,1,US.HWYBUNDLE.62480245F3B5CC8E,14,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
CA,T2,HPMS IRI plus state pavement condition feed,1,I110,1,US.HWYBUNDLE.D6B01122CB05A1BA,2,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
CO,T2,HPMS IRI plus state pavement condition feed,2,US287;US6,2,US.HWYBUNDLE.9B011ADD0E34D674;US.HWYBUNDLE.E4A62B3E8ADBEFBD,30,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
CT,T2,HPMS IRI plus state pavement condition feed,1,US6,1,US.HWYBUNDLE.E4A62B3E8ADBEFBD,12,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
GA,T2,HPMS IRI plus state pavement condition feed,1,US80,1,US.HWYBUNDLE.621B7445F38FA059,7,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
IA,T2,HPMS IRI plus state pavement condition feed,2,US30;US6,2,US.HWYBUNDLE.623A0A45F3A99CCA;US.HWYBUNDLE.E4A62B3E8ADBEFBD,27,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
ID,T2,HPMS IRI plus state pavement condition feed,1,US30,1,US.HWYBUNDLE.623A0A45F3A99CCA,15,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
IL,T2,HPMS IRI plus state pavement condition feed,1,US6,1,US.HWYBUNDLE.E4A62B3E8ADBEFBD,12,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
IN,T2,HPMS IRI plus state pavement condition feed,1,US30,1,US.HWYBUNDLE.623A0A45F3A99CCA,15,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
