hierarchy_id,from_node,to_node,from_label,to_label,from_lon,from_lat,to_lon,to_lat,candidate_tier,service_role,need_class,readiness_basis,evidence_label,iteration_change,claim_boundary
JPN-HIER2-T1-001,TKY,NGY,Tokyo,Nagoya,139.69,35.68,136.91,35.18,T1,national logistics spine,Pacific Belt reliability candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T1-002,NGY,OSA,Nagoya,Osaka,136.91,35.18,135.50,34.69,T1,national logistics spine,Central Japan industrial-market continuity,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T1-003,OSA,KOB,Osaka,Kobe,135.50,34.69,135.19,34.69,T1,national logistics spine,Kansai and western Pacific Belt continuity,road_graph_source_needed;need_surface_source_needed;port_node_source_needed,heuristic-held,repaired from fixture T4 misclassification to T1 candidate,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T1-004,KOB,HIR,Kobe,Hiroshima,135.19,34.69,132.46,34.39,T1,national logistics spine,Western Honshu trunk continuity candidate,road_graph_source_needed;hazard_source_needed,heuristic-held,up-tiered from v1 T2 to preserve Pacific Belt continuity,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T2-001,HIR,FUK,Hiroshima,Fukuoka,132.46,34.39,130.40,33.59,T2,regional gateway connector,Kyushu gateway access candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept as T2 gateway pending stronger source evidence,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T2-002,TKY,SEN,Tokyo,Sendai,139.69,35.68,140.87,38.27,T2,resilience access connector,Tohoku resilience and disruption-recovery access,road_graph_source_needed;hazard_source_needed,heuristic-held,kept as resilience branch with hazard hold,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T2-003,TKY,NIG,Tokyo,Niigata,139.69,35.68,139.04,37.92,T2,alternate-coast resilience connector,Sea of Japan alternate access candidate,node_source_needed;hazard_source_needed;constraint_source_needed,heuristic-held,added alternate-coast resilience candidate,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T3-001,TKY,YOK,Tokyo,Yokohama,139.69,35.68,139.64,35.44,T3,port access feeder,Tokyo Bay port market access candidate,port_node_source_needed;terminal_source_needed,heuristic-held,kept as port feeder separate from trunk,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T3-002,OSA,KYO,Osaka,Kyoto,135.50,34.69,135.77,35.01,T3,regional access feeder,Kansai regional access candidate,node_source_needed;need_surface_source_needed,heuristic-held,kept as regional access feeder,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
JPN-HIER2-T3-003,KOB,KBP,Kobe,Kobe Port,135.19,34.69,135.23,34.68,T3,terminal access feeder,Kobe terminal access candidate,port_node_source_needed;terminal_source_needed,heuristic-held,added terminal feeder so trunk spine is not downgraded,not an official Japanese corridor SLA disaster-readiness construction ROI eligibility compliance endorsement or validation claim
