site_id,intersection,location,primary_state_sources,national_sources,fields_to_populate,access_status,source_url,notes
T1X-I35-I80,I-35 x I-80,Des Moines IA,"Iowa DOT 511 events; Iowa DOT work zones; Iowa crash/incident archives","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration_p50_hours; duration_p95_hours; reroute_time_p50_hours; reroute_time_p95_hours",identified,https://iowadot.gov/travel-tools/iowa-511/511-data-feeds,"Iowa 511 feed includes incidents/crashes and other unplanned events; need archive or polling strategy for historical rates"
T1X-I35-I40,I-35 x I-40,Oklahoma City OK,"ODOT traffic advisories; OKTraffic; ODOT open data portal; Oklahoma crash records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; transfer demand; alternate capacity",identified,https://oklahoma.gov/odot/travel/traffic/traffic-advisories.html,"Official advisory/source target identified; still need archive/export or records-request path for historical duration rates"
T1X-I40-I75,I-40 x I-75,Knoxville TN,"TDOT SmartWay Events FeatureServer; Tennessee 511; TDOT work zones; Tennessee crash records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; truck detour feasibility; grade/clearance constraints",identified,https://spatial.tdot.tn.gov/arcgis/rest/services/Smartway/Smartway_Events/FeatureServer,"SmartWay event feature service identified; importer scaffold exists, but live query currently needs endpoint tuning or an alternate export path; must capture West Knoxville alternate capacity, not only incident count"
T1X-I10-I35,I-10 x I-35,San Antonio TX,"TxDOT CRIS; DriveTexas API; lane-closure/work-zone records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; ramp queue duration; through/turning freight split; reroute time",identified,https://api.drivetexas.org/,"DriveTexas API endpoint identified; CRIS and closure-history access still need field-level integration"
T1X-I75-I80,I-75 x I-80,Toledo OH,"Ohio OHGO public API; ODOT work zones; Ohio crash records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; I-475 bypass capacity; reroute time",identified,https://publicapi.ohgo.com/,"OHGO public API identified; need incidents/construction endpoint integration and I-475 truck suitability"
T1X-I90-I95,I-90 x I-95,Boston MA,"MassDOT highway data feeds; GoTime/roadway incidents; tunnel/artery closure logs; hazmat routing rules","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; hazmat restriction; incident clearance; reroute time",identified,https://www.mass.gov/info-details/highway-data-for-developers,"MassDOT developer page includes roadway traffic feeds and incidents affecting travel; API access may require request"
T1X-I10-I95,I-10 x I-95,Jacksonville FL,"FL511 REST API; FDOT lane closures; hurricane evacuation/closure records","NPMRDS/FPM; HPMS; ATRI bottleneck list; FEMA/NOAA hazard data","annual_probability; hurricane closure duration; I-295 transfer capacity; reroute time",identified,https://fl511.com/developers/doc,"FL511 API events endpoint identified; needs developer key and storm/flood closure history"
T1X-I5-I10,I-5 x I-10,Los Angeles CA,"Caltrans PeMS; Caltrans lane closures; CHP incidents","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; connector queue duration; local-capture congestion",identified,https://dot.ca.gov/programs/traffic-operations/mpr/pems-source,"PeMS includes incidents, lane closures, detector data, vehicle classification, and WIM; account required"
T1X-I5-I80,I-5 x I-80,Sacramento/Bay Area CA,"Caltrans PeMS; 511 SF Bay traffic events/archive; bridge closure records; CHP incidents","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; bay crossing closure duration; truck restriction; reroute time",identified,https://511.org/open-data,"511 SF Bay supports traffic events and archived status queries; PeMS covers incidents/lane closures but account is required"
T1X-I5-I90,I-5 x I-90,Seattle/Tacoma WA,"WSDOT Traveler Information API; bridge closure logs; WSDOT work zones; Washington crash records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; bridge/crossing duration; truck restriction; reroute time",identified,https://www.wsdot.wa.gov/traffic/api/,"WSDOT traveler API identified; need bridge/crossing freight restriction and archived incident duration strategy"
T1X-I35-I90,I-35 x I-90,Minneapolis MN,"MnDOT 511; MnDOT work zones; Minnesota crash records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; ring-road alternate capacity",identified,https://511mn.org/help/About.html,"MnDOT 511 source identified for incidents/restrictions/weather; need API/archive or records-request path plus ring-road capacity"
T1X-I40-I95,I-40 x I-95,Wilmington NC,"NCDOT DriveNC/TIMS incidents; NCDOT work zones; hurricane closure records","NPMRDS/FPM; HPMS; ATRI bottleneck list; FEMA/NOAA hazard data","annual_probability; hurricane closure duration; coastal detour capacity",identified,https://www.ncdot.gov/divisions/highways/Pages/DriveNC-FAQ.aspx,"DriveNC/TIMS source identified; need export/API or dashboard data path for historical ordinary incident and storm closures"
T1X-I75-I90,I-75 x I-90,Detroit metro MI/OH,"MDOT RIDE/Mi Drive; ODOT OHGO API; work zones; crash records","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; truck-capable alternate proof",identified,https://www.michigan.gov/mdot/travel/safety/efforts/its/its-data,"MDOT RIDE traffic events and OHGO API identified; multi-state source join still required"
T1X-I5-I40,I-5 x I-40,Barstow CA,"Caltrans PeMS; Caltrans lane closures; CHP incidents","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; US-395 detour capacity; truck clearance",identified,https://dot.ca.gov/programs/traffic-operations/mpr/pems-source,"Same Caltrans source family as LA/Sacramento; desert detour needs separate capacity proof"
T1X-I80-I90,I-80 x I-90,Indiana/Ohio shared corridor,"INDOT CARS/511; Ohio OHGO API; turnpike authority closure logs; work zones","NPMRDS/FPM; HPMS; ATRI bottleneck list","annual_probability; duration distribution; shared-corridor split-zone disruption model",identified,https://www.in.gov/indot/travel-conditions/travel-information/,"INDOT CARS and OHGO API identified; shared corridor still needs separate model from crossing interchanges"
