zone_id,zone_name,obligation_class,route,current_tier,current_score,constraint_adjusted_score,hard_blocker_count,claim_blocker_count,constraint_debt_cost_m,lifecycle_debt_cost_m,constraint_penalty_score,top_constraint_classes,constraint_ledger_artifact,promise_horizon_hours,column_decision,zone_role,contact_requirement,map_treatment,selection_basis,source_obligation,next_artifact,optimizer_effect,validation_status
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,I270,T2,64.3,63.3,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,I264,T2,53.4,52.4,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,I220,T2,53.2,17.200000000000003,0,1,35.0,0.0,36.0,asset_condition_debt;game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,I275,T2,52.8,51.8,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,US74,T4,29.8,27.8,0,2,0.0,0.0,2.0,lower_tier_feeder_gap;terminal_access_evidence_gap,data/optimizer-constraint-ledger.csv,6,review,below-threshold-feeder-candidate,score-or-terminal-evidence-required,show-as-held-zone-candidate,candidate is below T3 threshold for a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-t4-access-gaps.csv,holds weak feeder pressure for access-gap review instead of selecting it,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,I-180,T4,29.7,27.7,0,2,0.0,0.0,2.0,lower_tier_feeder_gap;terminal_access_evidence_gap,data/optimizer-constraint-ledger.csv,6,review,below-threshold-feeder-candidate,score-or-terminal-evidence-required,show-as-held-zone-candidate,candidate is below T3 threshold for a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-t4-access-gaps.csv,holds weak feeder pressure for access-gap review instead of selecting it,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,US22,T4,29.7,27.7,0,2,0.0,0.0,2.0,lower_tier_feeder_gap;terminal_access_evidence_gap,data/optimizer-constraint-ledger.csv,6,review,below-threshold-feeder-candidate,score-or-terminal-evidence-required,show-as-held-zone-candidate,candidate is below T3 threshold for a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-t4-access-gaps.csv,holds weak feeder pressure for access-gap review instead of selecting it,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,I-71,T3,47.4,47.4,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,I-74,T3,47.2,47.2,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,I-280,T3,46.1,46.1,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,I-480,T3,45.6,45.6,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
