row_type,zone_id,zone_title,id,label,class,tier,status,route,stop_ids,special_lane,project_id,project_name,cost_band,effect,evidence_status
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,SLC,Salt Lake City,S2,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,DEN,Denver,S2,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,CHY,Cheyenne,S3,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,BIL,Billings,S2,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,LV,Las Vegas,S3,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,SAC,Sacramento,S2,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,TWF,Twin Falls,S4?,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,YAK,Yakima,S4?,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,ABR,Aberdeen,S4?,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,DUR,Durango,S4?,,,,,,,,,,
stop,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,FLG,Flagstaff,S4?,,,,,,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,I-80,I-80,,T1,passing,I-80,SAC;SLC;CHY,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,I-25,I-25,,T1,passing,I-25,DEN;CHY,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,I-15,I-15,,T1,passing,I-15,LV;SLC,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,I-70,I-70,,T2,passing,I-70,SLC;DEN,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,I-82,I-82,,T3,blocked,I-82,SAC;YAK;TWF,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,I-86,I-86,,T3,blocked,I-86,SLC;TWF;BIL,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,US-12,US-12,,T3,blocked,US-12,BIL;ABR,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,US-20,US-20,,T3,blocked,US-20,SAC;TWF;CHY,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,US-160,US-160,,T3,blocked,US-160,LV;FLG;DUR;DEN,none,,,,,
line,T3ZMOUNTAINWEST,Mountain West / Interior Coverage,US-85,US-85,,T3,blocked,US-85,DEN;CHY;BIL,hardening-pilot,resilience-hardening-pilot,Weather hardening pilot,source-gated,reduces weather disruption sensitivity,source-gated
