row_type,zone_id,zone_title,id,label,class,tier,status,route,stop_ids,special_lane,project_id,project_name,cost_band,effect,evidence_status
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,CIN,Cincinnati,S2,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,COL,Columbus,S2,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,TOL,Toledo,S2,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,IND,Indianapolis,S2,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,HAR,Harrisburg,S2,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,PIT,Pittsburgh,S3,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,CLE,Cleveland,S4?,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,DET,Detroit,S4?,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,GRR,Grand Rapids,S4?,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,RFD,Rockford,S4?,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,YRK,York,S4?,,,,,,,,,,
stop,T3ZGREATLAKES,Great Lakes / Ohio Valley,BAL,Baltimore,S2,,,,,,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-75,I-75,,T1,passing,I-75,CIN;TOL;DET,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-80,I-80,,T1,passing,I-80,RFD;TOL;CLE,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-76,I-76,,T1,passing,I-76,PIT;HAR,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-70,I-70,,T2,passing,I-70,IND;COL;PIT;HAR,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-65,I-65,,T2,passing,I-65,IND;CIN,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-71,I-71,,T3,passing,I-71,CIN;COL;CLE,dedicated-relay,managed-lane-pilot,Dedicated relay lane,corridor-specific,raises relay throughput and schedule reliability,heuristic-held
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-74,I-74,,T3,passing,I-74,CIN;IND;RFD,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-83,I-83,,T3,passing,I-83,BAL;YRK;HAR,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-79,I-79,,T3,blocked,I-79,PIT;CLE,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-96,I-96,,T3,blocked,I-96,DET;GRR,none,,,,,
line,T3ZGREATLAKES,Great Lakes / Ohio Valley,I-88,I-88,,T3,blocked,I-88,RFD;CLE,none,,,,,
