queue_id,route,zone_id,terminal_district_seed,terminal_district_seed_source,contact_basis,contact_proof_source,evidence_status,selected_higher_tier_attachment,decision,next_artifact,source_column_artifact,source_column_decision,validation_status
T4CONTACT-T3GREATLAKES-I115,I-115,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I129,I-129,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I176,I-176,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I180,I-180,t3-great-lakes,St. Louis Gateway,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I190,I-190,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I196,I-196,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I235,I-235,t3-great-lakes,Minneapolis Twin Cities,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I271,I-271,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I276,I-276,t3-great-lakes,Philadelphia Frankford,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I279,I-279,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I294,I-294,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I390,I-390,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I465,I-465,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I471,I-471,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I478,I-478,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I496,I-496,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I691,I-691,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I696,I-696,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I72,I-72,t3-great-lakes,St. Louis Gateway,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I93,I-93,t3-great-lakes,Philadelphia Frankford,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-I990,I-990,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-US10,US10,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-US15,US15,t3-great-lakes,Philadelphia Frankford,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-US22,US22,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-US223,US223,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
T4CONTACT-T3GREATLAKES-US224,US224,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,candidate-terminal-district-assigned; route-to-terminal contact source still needed,,source-needed,source-needed,source-needed,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,data/t4-terminal-access-columns.csv,terminal-review,review
