proof_intake_id,source_access_id,proof_review_id,proof_artifact_id,acquisition_id,queue_id,route,zone_id,required_artifact_fields,required_contact_statement,proof_artifact,proof_status,proof_blocker,blocker_claims_before,blocker_claims_after,claim_blocker_delta,next_artifact,validation_status
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4CONTACT-T3GREATLAKES-I115,I-115,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4CONTACT-T3GREATLAKES-I129,I-129,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4CONTACT-T3MOUNTAINWEST-I135,I-135,t3-mountain-west,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4CONTACT-T3SOUTHEAST-I140,I-140,t3-southeast,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4CONTACT-T3MIDSOUTH-I169,I-169,t3-mid-south,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4CONTACT-T3SOUTHEAST-I175,I-175,t3-southeast,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4CONTACT-T3GREATLAKES-I176,I-176,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4CONTACT-T3GREATLAKES-I180,I-180,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4CONTACT-T3MIDSOUTH-I181,I-181,t3-mid-south,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4CONTACT-T3SOUTHEAST-I185,I-185,t3-southeast,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI190,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI190,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI190,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI190,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI190,T4CONTACT-T3GREATLAKES-I190,I-190,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
