standard_id,inventory_name,source_kind,source_status,current_artifact,coverage_scope,blocking_gap,next_step
T1-OPS-WIM,weigh station and WIM inventory,state DOT/FHWA facility inventory,source_needed,specs/2026-05-06-tier-standards.md,T1 weigh stations and mainline WIM/preclearance coverage,No joined weigh-station/WIM facility table or delay distribution,Collect state weigh station/WIM inventories and model inspection delay bypass sensitivity
T1-REST,rest area and truck parking inventory,FHWA/state rest-area and truck-parking sources,source_needed,specs/2026-05-06-tier-standards.md,T1 rest areas truck parking spaces amenities closure status,No joined truck-parking/rest-area inventory or occupancy history,Join public rest-area/truck-parking inventories and add parking saturation scenario inputs
T1-FLYOVER,T1/T1 flyover geometry and capacity,manual design review plus graph connector ledger,planned,specs/2026-05-06-interstate-2-design.md,T1/T1 diamond freight-only connector geometry and modeled capacity,No site ramp geometry cost component or transfer-capacity table,Create top-site flyover design ledger and bind capacity to Des Moines pressure scenario
T1-SPURS,rural resilience spur candidates,US route capacity and access-control inventory,partial,gaps/resilience.md,T1 rural closure zones with truck-capable US-route alternate connections,Spur locations and alternate-route capacity are not selected,Generate candidate spur ledger from closure-prone T1 segments and nearby US-route capacity
T1-CD,metro collector-distributor needs ledger,urban ramp/weave and metro span inventory,planned,specs/2026-05-06-tier-standards.md,T1 metro spans over 500k population with ramp density and weave exposure,No metro span inventory or C-D capacity model,Create metro T1 C-D needs ledger and Atlanta weave/merge sensitivity inputs
T1-BRIDGE,bridge clearance and posting ledger,FHWA NBI plus state clearance/posting records,partial,data/cache/nbi_bridges.csv,T1 mainline bridges clearances load postings and condition,Bridge records are cached but not joined to graph/route standards,Join NBI bridges to T1 graph edges and flag posted/clearance/condition blockers
T2-RESILIENCE,T2 alternate route inventory,US/state route bridge and capacity sources,planned,specs/2026-05-06-tier-standards.md,T2 detour corridors within 60 miles of T1 closure zones,Bridge and alternate-capacity evidence missing for T2 detour viability,Create T2 alternate-route ledger with bridge condition and capacity labels
T3-OPERATIONS,T3 regional operations fixture,regional PTI/EV/rest/transit inventory,planned,specs/2026-05-06-tier-standards.md,T3 feeder reliability and basic access scenario inputs,No T3-specific SLA/access scenario fixtures,Create regional feeder fixture with PTI rest EV and demand-responsive transit assumptions
T4-MAINTENANCE,T4 asset condition ledger,bridge pavement signing and safety asset sources,planned,specs/2026-05-06-tier-standards.md,T4 state-of-good-repair assets with no expansion claim,Asset condition data not joined to T4 maintenance claims,Create T4 asset-condition ledger and gate fair-plus bridge/pavement claims separately from capacity expansion
T1-PAVEMENT,T1 pavement condition and ride-quality ledger,HPMS IRI plus state pavement condition feeds,partial,data/tier-pavement-standards.csv,T1 graph-edge members with IRI and pavement condition joined before SLA proof,HPMS IRI is graph-joined at route/edge level but state pavement feeds are not yet normalized,Join HPMS/state pavement condition to tier-segment-candidates and emit repair blockers above T1 floor
T2-PAVEMENT,T2 pavement condition and ride-quality ledger,HPMS IRI plus state pavement condition feeds,partial,data/tier-pavement-standards.csv,T2 connector graph-edge members with IRI and pavement condition joined before upgrade or overlay binding,T2 candidate bundles are decomposed but pavement repair docket is not emitted yet,Join pavement condition to T2 segment candidates and block upgrade/promise claims above T2 floor
T3-PAVEMENT,T3 feeder pavement condition ledger,HPMS IRI plus state/local pavement feeds,planned,data/tier-pavement-standards.csv,T3 feeder and zone-route segment members with fair pavement floor,State/local pavement source normalization is pending,Attach state pavement feeds to T3 zone segment identities and emit maintenance-first tasks
T4-PAVEMENT,T4 terminal/local pavement condition ledger,state/local pavement asset systems,planned,data/tier-pavement-standards.csv,T4 terminal access and local freight/transit approaches with fair-minus pavement floor,Local pavement sources are not normalized into ROUTE segment identity,Attach local pavement feeds to T4 terminal access columns and forbid expansion claims over poor pavement
