route,source_intake_class,current_score,review_action,required_evidence,next_artifact,optimizer_effect,validation_status
I-57,bubble-up-t2-review,49.6,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-19,bubble-up-t2-review,49.3,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-16,bubble-up-t2-review,48.7,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
US69,bubble-up-t2-review,48.4,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-71,bubble-up-t2-review,47.4,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-74,bubble-up-t2-review,47.2,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-630,bubble-up-t2-review,46.7,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-280,bubble-up-t2-review,46.1,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-105,bubble-up-t2-review,45.7,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-2,bubble-up-t2-review,45.7,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-480,bubble-up-t2-review,45.6,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-675,bubble-up-t2-review,45.5,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-8,bubble-up-t2-review,45.3,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-96,bubble-up-t2-review,45.2,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
US40,bubble-up-t2-review,45.1,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
US75,bubble-up-t2-review,45.1,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-215,bubble-up-t2-review,45.0,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
I-464,bubble-up-t2-review,45.0,require-t2-contact-witness-before-upgrade,T2 contact witness plus source-backed regional service value,data/tier-contact-witnesses.csv,may reopen T2 candidate review only after contact validation,review
