field_name,field_group,required_for_vectors,required_for_roles,accepted_source_examples,normalization_rule,missing_field_behavior,blocked_claims
source_segment_id,identity,SV-001;SV-002;SV-003;SV-004;SV-005;SV-006,T1;T2;T3;T4;R;M;X,state roadway inventory segment id;linear referencing id;route-milepost key,Preserve source key and add ROUTE row id only as a derived identifier.,block_source_backed_fit,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
route_label,identity,SV-001;SV-002;SV-003;SV-006,T1;T2;T3;M;X,route number;route name;shield label,Normalize display label but retain original source label.,allow_internal_only_row_with_label_needed,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
from_ref,topology,SV-001;SV-002;SV-003;SV-005,T1;T2;T3;R,begin node;begin milepost;jurisdiction boundary;named place,Map to a stable endpoint reference before fitting corridor continuity.,block_continuity_fit,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
to_ref,topology,SV-001;SV-002;SV-003;SV-005,T1;T2;T3;R,end node;end milepost;jurisdiction boundary;named place,Map to a stable endpoint reference before fitting corridor continuity.,block_continuity_fit,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
owner_or_jurisdiction,authority,SV-001;SV-002;SV-003;SV-004;SV-006,T1;T2;T3;T4;M;X,state DOT;turnpike authority;county;municipality;port or airport authority,Separate owner from service role and do not infer approval from ownership.,block_client_review_packet,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
road_class,classification,SV-001;SV-002;SV-003;SV-006,T1;T2;T3;M;X,interstate;US highway;state highway;local access;functional class,Map source classes to ROUTE display classes without promoting a role by class alone.,route_to_manual_role_review,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
priority_node_refs,market,SV-001;SV-003;SV-004,T1;T3;T4,cities;gateways;ports;airports;border crossings;hospitals;campuses;freight districts,Link segment endpoints or access links to client-approved priority nodes.,fit_as_source_needed_only,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
parallel_or_alternate_refs,resilience,SV-002;SV-005,T2;R,detour route;parallel corridor;alternate state route;incident management route,Record candidate alternate relationship and require review before scoring resilience.,block_redundancy_claim,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
restriction_refs,operations,SV-002;SV-003;SV-004;SV-005,T2;T3;T4;R,truck restriction;bridge limit;seasonal closure;work-zone constraint;local access constraint,Treat restrictions as fit penalties or review gates until source evidence is accepted.,allow_fit_with_restriction_gap,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
observed_failure_refs,evidence,SV-002;SV-003;SV-004;SV-005,T2;T3;T4;R,closure log;incident record;bottleneck list;terminal delay record;emergency access record,Map evidence to SSF metric ids and keep current_signal not-scored until reviewed.,keep_evidence_posture_source_needed,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
non_promotion_reason,coverage,SV-006,M;X,low service relevance;outside scope;maintained only;local-only function;duplicate segment,Require an explicit reason when a segment is not promoted to T1/T2/T3/T4.,block_full_coverage_claim,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
