map_id,map_path,map_type,publication_status,render_gate_status,readiness_artifact,held_claims,required_label,allowed_use,not_allowed_claims,next_artifact,validation_status
national-tier,maps/all-tiers.png,national-tier,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,public project overview and campaign atlas,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
beck-schematic,maps/beck-schematic.png,schematic,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,T1 relay topology explanation,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
beck-schematic-t2,maps/beck-schematic-t2.png,schematic,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,expanded network planning and feeder-route explanation,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
beck-schematic-t2-only,maps/beck-schematic-t2-only.png,schematic,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,T2 service-class tutorial and incident overlay board,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i5-region,maps/i5.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,West Coast corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i10-region,maps/i10.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Southern tier corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i35-region,maps/i35.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,central spine corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i40-region,maps/i40.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,east-west resilience corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i75-region,maps/i75.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Great Lakes and Florida freight corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i80-region,maps/i80.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,cross-country resilience corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i90-region,maps/i90.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,northern tier relay and winter resilience context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
i95-region,maps/i95.png,t1-region,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Eastern seaboard corridor context,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
t3-great-lakes,maps/t3-great-lakes.png,t3-zone,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Great Lakes and Ohio Valley feeder schematic,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
t3-southeast,maps/t3-southeast.png,t3-zone,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Southeast and Appalachia feeder schematic,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
t3-texas-border,maps/t3-texas-border.png,t3-zone,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Texas Border and Gulf feeder schematic,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
t3-mountain-west,maps/t3-mountain-west.png,t3-zone,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Mountain West and interior feeder schematic,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
t3-mid-south,maps/t3-mid-south.png,t3-zone,publication-ready-held-claims,pass,data/map-publication-readiness.csv,evidence|sla|transit|upgrade,Structural T1-T4 map; evidence/SLA/transit/upgrade claims held,Mid-South Delta and Ozarks feeder schematic,evidence-valid|sla-valid|transit-ready|upgrade-ready|asset-condition-repaired,docs/map-publication-scope.md,pass
