segment_bundle_id,bundle_role,member_segment_ids,member_count,stitch_group_ids,current_tiers,current_zone_ids,route_labels,state_scope,evidence_state_scope,geometry_state_scope,bundle_aliases,source_artifacts,bundle_status,bundle_action,next_artifact,validation_status
US.HWYBUNDLE.09AF27B5A419364E,single-segment,US.HWYSEG.09AF27B5A419364E,1,US.HWYSTITCH.09AF27B5A419364E,T3,t3-mountain-west,I25,CO;NM;WY,CO;NM;WY,,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I25;route:I25;zone-route:t3-mountain-west:I25,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,bundle-ready,use bundle as service join surface,maps/t3-zone,pass
US.HWYBUNDLE.11E1A66272BC92C0,stitched-service,US.HWYSEG.0286D88A8E5847F3;US.HWYSEG.0604972624A847DC;US.HWYSEG.06FC7B4177D737BC;US.HWYSEG.0B5400621968D75F;US.HWYSEG.0FA265414E211CE4;US.HWYSEG.104BFDCF180E8338;US.HWYSEG.23FDC81A3081F2C8;US.HWYSEG.282B64926CE495E7;US.HWYSEG.324E68CC8B751B72;US.HWYSEG.3AA6BD6F420CD4E5;US.HWYSEG.3EAA40D8CAEC0A54;US.HWYSEG.519FE26C5AAADFCD;US.HWYSEG.58B5D68E30FBAE6D;US.HWYSEG.5D4CDF5CEC598F5C;US.HWYSEG.5DB9653497012A78;US.HWYSEG.617038AFFC0B5324;US.HWYSEG.66AC8EA1E1D5B128;US.HWYSEG.69A08C23CA54E69F;US.HWYSEG.80F04C8FB7A41B12;US.HWYSEG.8C0182F9AA71A088;US.HWYSEG.A0353F461F2F7BC4;US.HWYSEG.A246114797122569;US.HWYSEG.C04BAA7BA38509ED;US.HWYSEG.C304B448A6120E7C;US.HWYSEG.CD200F24CEDC6DDC;US.HWYSEG.DD8C3D2DD78BC714;US.HWYSEG.DF6B11A25DF8A431;US.HWYSEG.E7ECF3E2C6C0B500;US.HWYSEG.EFD02771BF037D61;US.HWYSEG.F5B806536D99C4BF;US.HWYSEG.F9207D0A7706BA63;US.HWYSEG.FC7321DC5DBF5BCE,32,US.HWYSTITCH.B7AC7A40151EE51D,T2,component-1,US80,AL;GA;LA;NM;TX,AL;GA;LA;NM;TX,AL;GA;LA;NM;TX,current-tier:T2;current-zone:component-1;layer:segment-candidate;route-label:US80;route:US80,data/tier-pavement-docket.csv;data/tier-segment-candidates.csv,bundle-review,join pavement evidence before service readiness,data/tier-pavement-docket.csv,review
US.HWYBUNDLE.11E1A96272BC97D9,stitched-service,US.HWYSEG.0EA433ED10066773;US.HWYSEG.2EC312327F5DF335;US.HWYSEG.445E2D0B9A6B61E8;US.HWYSEG.48FD4179E8ACEBAB;US.HWYSEG.55DE7CAA0F111FFB;US.HWYSEG.5A7D584E4D794BCA;US.HWYSEG.6AA153595A27832B;US.HWYSEG.745C0E0AEDBA2B66;US.HWYSEG.7561043ED52E9798;US.HWYSEG.8E0838EE0D51B8DC;US.HWYSEG.8EAB544ED877459F;US.HWYSEG.9924DAB5C0104413;US.HWYSEG.B10272563C8A8C6C;US.HWYSEG.B8F7DB4FA62BA789;US.HWYSEG.BA9C31E1A3652FCD;US.HWYSEG.DDBCDF631537938F;US.HWYSEG.E3E6C28E957CF08C;US.HWYSEG.F46941871E277734,18,US.HWYSTITCH.B7AC7740151EE004,T2,component-1,US83,ND;SD;TX,ND;SD;TX,ND;SD;TX,current-tier:T2;current-zone:component-1;layer:segment-candidate;route-label:US83;route:US83,data/tier-pavement-docket.csv;data/tier-segment-candidates.csv,bundle-review,join pavement evidence before service readiness,data/tier-pavement-docket.csv,review
US.HWYBUNDLE.11E52C6272BFAC49,stitched-service,US.HWYSEG.0C3A111EF66225FB;US.HWYSEG.15D34985CC59F910;US.HWYSEG.21CF91E5EF9A8897;US.HWYSEG.277E84A7873689B1;US.HWYSEG.2DCEDCABEA0A2299;US.HWYSEG.2F8DC888B0822BE1;US.HWYSEG.32CB79D836B42547;US.HWYSEG.37175A4B8F61D92F;US.HWYSEG.4569DADA62124264;US.HWYSEG.4AD55F4063177C0F;US.HWYSEG.4FA1406E16807749;US.HWYSEG.5955D1839B65B30B;US.HWYSEG.5B166F5570BF1D83;US.HWYSEG.5F80DF25D1C2FCAC;US.HWYSEG.6312653FDC8136BA;US.HWYSEG.6990B99A2F719189;US.HWYSEG.712AE3A54D38BA01;US.HWYSEG.716AB950412266BB;US.HWYSEG.7188FB2AB4E9B267;US.HWYSEG.82867D7AC3180B53;US.HWYSEG.85441C92830C2ED0;US.HWYSEG.87B194C61F55B886;US.HWYSEG.8A0FB0E11CAE492F;US.HWYSEG.8A1544C2129A2697;US.HWYSEG.974643A4F9F56F35;US.HWYSEG.9D12135A4E1DDB8B;US.HWYSEG.A2B54E9B164287A3;US.HWYSEG.A399FFB4F7C28166;US.HWYSEG.AEA97BCDEB892FC0;US.HWYSEG.B5968512621F456E;US.HWYSEG.B8220D8458CF5AD2;US.HWYSEG.BAB78FCD4C0A2078;US.HWYSEG.C27449280B1F98B1;US.HWYSEG.C5D645FC51081B7E;US.HWYSEG.C8509033C794E223;US.HWYSEG.CE10A48674CC03C7;US.HWYSEG.D65063A65703F0C9;US.HWYSEG.D8F772C3D263FECB;US.HWYSEG.DF366861A990B40E;US.HWYSEG.E08B90DD3ABA07C6;US.HWYSEG.E75896CA7785A20B;US.HWYSEG.EC0E505C75BA7700;US.HWYSEG.FFD26DE3925DFEB8,43,US.HWYSTITCH.B7A8F440151BCB94,T2,component-1,US90,GA;LA;MS;TX,GA;LA;MS;TX,GA;LA;MS;TX,current-tier:T2;current-zone:component-1;layer:segment-candidate;route-label:US90;route:US90,data/tier-pavement-docket.csv;data/tier-segment-candidates.csv,bundle-ready,use bundle as service join surface,maps/t3-zone,pass
US.HWYBUNDLE.1207286272DC8BE3,stitched-service,US.HWYSEG.0102789E2B557CED;US.HWYSEG.0167B352A4F68570;US.HWYSEG.0189166DEC2ECC95;US.HWYSEG.06CB32AFE303A60A;US.HWYSEG.07E28224A8111F3C;US.HWYSEG.08BDD37C71273D2F;US.HWYSEG.0A197C1823CCA6F8;US.HWYSEG.0E51C3CD14C52378;US.HWYSEG.0FC5A39E066DB86F;US.HWYSEG.157E8418B37D537B;US.HWYSEG.16276F55093E54E7;US.HWYSEG.183DC8B8AEF985DB;US.HWYSEG.1A40AB666E620750;US.HWYSEG.1B5B0070E4C1F547;US.HWYSEG.1B7876E9AFE0B0B8;US.HWYSEG.1BA28FA7405B0160;US.HWYSEG.1E8AE1FAAA138018;US.HWYSEG.1EAAEAFED82632E3;US.HWYSEG.1FC15756A686F055;US.HWYSEG.2011851D26B8D74D;US.HWYSEG.2788614C6300830C;US.HWYSEG.287E7C5C5900C465;US.HWYSEG.2C7AE2654EC01E6D;US.HWYSEG.2D13098A0A8F4E87;US.HWYSEG.3159020119B4F4F3;US.HWYSEG.3818431DC28DC41F;US.HWYSEG.3A5A98DDA0D0685A;US.HWYSEG.3C45DCCCF2261E07;US.HWYSEG.3C721D3755EE8E14;US.HWYSEG.3D4D92CB6F6D4A65;US.HWYSEG.3E29A1DE4CDBC409;US.HWYSEG.401BFCDE4015F7D1;US.HWYSEG.412FD4E83837BD79;US.HWYSEG.4342F3CDC776CF21;US.HWYSEG.445BCE7707279385;US.HWYSEG.4925ECEDED94C066;US.HWYSEG.4D4F96ACCD479636;US.HWYSEG.4F75E97C3F103EB8;US.HWYSEG.582718D9D3AA670B;US.HWYSEG.5880BC456BBC5512;US.HWYSEG.6185D7AFEF7798A2;US.HWYSEG.6214732D37A542B4;US.HWYSEG.642E80AADC1DF57E;US.HWYSEG.65DE8630CBCC5FC2;US.HWYSEG.6AB1AD1DD5AF1923;US.HWYSEG.6BB82DF2E32FAD97;US.HWYSEG.6DF1F28A5B9E294A;US.HWYSEG.6E9FCBAEB335F6EB;US.HWYSEG.6EDF8F1C8984C71B;US.HWYSEG.725FA36DEEF8F736;US.HWYSEG.7292BF22E8FF0A6B;US.HWYSEG.760429CDE0EA16A0;US.HWYSEG.76F250F5AAD340F7;US.HWYSEG.77356F478689A3D4;US.HWYSEG.7898C753E67A4178;US.HWYSEG.79797BF84D91D730;US.HWYSEG.79C428BD81FD29AD;US.HWYSEG.7CEF2D51ECDF729E;US.HWYSEG.7DA0FAA72F5ED9D0;US.HWYSEG.7DEDB88D7BF54C38;US.HWYSEG.7EF78B12D926D0DF;US.HWYSEG.7F58A2CE00DD1CC2;US.HWYSEG.7F93DF7A9CFC016F;US.HWYSEG.8031FF6B1B68CB6E;US.HWYSEG.804C7DECA52D9113;US.HWYSEG.806C1E0BCC634082;US.HWYSEG.80B594A3C0AD2255;US.HWYSEG.8482F304E90BC882;US.HWYSEG.894C981CE31AB542;US.HWYSEG.89F25867EBC3DEBE;US.HWYSEG.8B81F52E0E3EA5FB;US.HWYSEG.8BAE6EE5E52D3216;US.HWYSEG.8D8B69736280BC18;US.HWYSEG.8E15408D1911649F;US.HWYSEG.9105C0E6475796A3;US.HWYSEG.940851B220C149A3;US.HWYSEG.946271E3F6259755;US.HWYSEG.99783862DBBB6D41;US.HWYSEG.99C4ECE3135767C5;US.HWYSEG.9A00C5E060BFEFB0;US.HWYSEG.9B4E22CA5BEEC454;US.HWYSEG.A2AC7A6FB1359E0B;US.HWYSEG.A6206D20D40B4F19;US.HWYSEG.A879BFA853C232E5;US.HWYSEG.ABB8309D05D3644B;US.HWYSEG.AE8756941EF0354A;US.HWYSEG.B5D24B654DB7CC26;US.HWYSEG.B7C6B683666FC2A4;US.HWYSEG.BCCD312DCD7C75B2;US.HWYSEG.BCE6F3AF8981BBC3;US.HWYSEG.C08576BE47EB4052;US.HWYSEG.C46084E3AF52B45E;US.HWYSEG.C4A48BBBA91CA497;US.HWYSEG.CA47DAB392CB7727;US.HWYSEG.CD464BD843D4C274;US.HWYSEG.CFCF69029A79613F;US.HWYSEG.D1F64867412D7C0D;US.HWYSEG.D31CBD3877F7613F;US.HWYSEG.D5C5047C0001F49B;US.HWYSEG.D769B6597E063108;US.HWYSEG.DBDAED276CA98321;US.HWYSEG.DD8BDBF5F945D7DB;US.HWYSEG.DE0D74AFBE8E7991;US.HWYSEG.E16B8968A1EC5972;US.HWYSEG.E42E462C5949733F;US.HWYSEG.E76EF7CB5280B092;US.HWYSEG.E8DCAA8EB09D53A9;US.HWYSEG.EB3CF91945232219;US.HWYSEG.F37BC83378E28014;US.HWYSEG.F70476B702F728E1;US.HWYSEG.F72BED74AD24064F;US.HWYSEG.F7CA83897D68974A;US.HWYSEG.FA27B441C8534900;US.HWYSEG.FA7D17BACBA5EE2C;US.HWYSEG.FF103B7B25B5B921;US.HWYSEG.FF41A1AD0781D583;US.HWYSEG.FF6EC022D020B9D7,117,US.HWYSTITCH.B7CAF0401538AB2E,T2,component-1,US30,IA;ID;IN;NE;OH;OR;PA;WY,IA;ID;IN;NE;OH;OR;PA;WY,IA;ID;IN;NE;OH;OR;PA;WY,current-tier:T2;current-zone:component-1;layer:segment-candidate;route-label:US30;route:US30,data/tier-pavement-docket.csv;data/tier-segment-candidates.csv,bundle-review,join pavement evidence before service readiness,data/tier-pavement-docket.csv,review
US.HWYBUNDLE.1214C06272E81887,stitched-service,US.HWYSEG.100E60EFDC5CB24F;US.HWYSEG.23D77AD37DDF6E14;US.HWYSEG.2A509F9D62FC72B5;US.HWYSEG.383EEB7692640246;US.HWYSEG.38B922EED9B9CA32;US.HWYSEG.3D52F25F6C2B9E0B;US.HWYSEG.3D583786D9C29C74;US.HWYSEG.3E4F0EC0EFF3598A;US.HWYSEG.3F46E0BED9275E0A;US.HWYSEG.3FA147D20B438947;US.HWYSEG.44FAAF5BBB84C9D4;US.HWYSEG.488696D938282689;US.HWYSEG.4921E2DF2133AEFE;US.HWYSEG.52632B47235329EB;US.HWYSEG.52E2318C5CE6CA8F;US.HWYSEG.57CFC25D00A012A0;US.HWYSEG.5B7B9B9800CF0AC7;US.HWYSEG.5DF460692D4FDA59;US.HWYSEG.5F570EA4EAD4D369;US.HWYSEG.681BCF8994733E78;US.HWYSEG.6A37E98A19797511;US.HWYSEG.6B35258799CCCD7F;US.HWYSEG.6EFA8EC404D2536B;US.HWYSEG.7125BD175AB03F49;US.HWYSEG.71561968356D7A0D;US.HWYSEG.75A4C9368C9668A7;US.HWYSEG.783685391EA42F94;US.HWYSEG.85782C91AC0F97A8;US.HWYSEG.85ECA794F135BB21;US.HWYSEG.89535F1C5474C6B8;US.HWYSEG.8B6D59E60E1BAF58;US.HWYSEG.8DEC5FAD6099406F;US.HWYSEG.94D486591002DEBA;US.HWYSEG.95A098CE279AC348;US.HWYSEG.9C59EC2EE4EB7C5B;US.HWYSEG.9DE872CCA9A80286;US.HWYSEG.A32FBFF9EB97C077;US.HWYSEG.A8EB1C53284B027D;US.HWYSEG.AA02E9C7A2A62CD7;US.HWYSEG.B43FBFA051E6DC27;US.HWYSEG.B5AEEFCFDD0F908E;US.HWYSEG.B8F751327CAF2D01;US.HWYSEG.BCED802ACFB12C38;US.HWYSEG.C1221D115F28C59F;US.HWYSEG.CD1D065CB1362E7F;US.HWYSEG.CFFEBAE76F52FD50;US.HWYSEG.D0B9622A97218360;US.HWYSEG.D7213863600BCCFD;US.HWYSEG.DC884722C97014D7;US.HWYSEG.DCADA146CE856417;US.HWYSEG.DE7D5C8539C36C66;US.HWYSEG.F206E715A84E663F;US.HWYSEG.F48BDC13112D67C3;US.HWYSEG.FDC8A9A370726F27,54,US.HWYSTITCH.B7BD7840152D54EA,T2,component-1,US70,AR;NC;NM;TX,AR;NC;NM;TX,AR;NC;NM;TX,current-tier:T2;current-zone:component-1;layer:segment-candidate;route-label:US70;route:US70,data/tier-pavement-docket.csv;data/tier-segment-candidates.csv,bundle-review,join pavement evidence before service readiness,data/tier-pavement-docket.csv,review
US.HWYBUNDLE.154555A2CA030C0C,single-segment,US.HWYSEG.154555A2CA030C0C,1,US.HWYSTITCH.154555A2CA030C0C,T3,t3-great-lakes,US74,,,,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:US74;route:US74;zone-route:t3-great-lakes:US74,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.154556A2CA030DBF,single-segment,US.HWYSEG.154556A2CA030DBF,1,US.HWYSTITCH.154556A2CA030DBF,T3,t3-great-lakes,US75,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:US75;route:US75;zone-route:t3-great-lakes:US75,data/t3-zone-route-columns.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.154FE3A2CA0C51DB,single-segment,US.HWYSEG.154FE3A2CA0C51DB,1,US.HWYSTITCH.154FE3A2CA0C51DB,T3,t3-great-lakes,US40,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:US40;route:US40;zone-route:t3-great-lakes:US40,data/t3-zone-route-columns.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.15566DA2CA11A807,single-segment,US.HWYSEG.15566DA2CA11A807,1,US.HWYSTITCH.15566DA2CA11A807,T3,t3-great-lakes,US22,,,,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:US22;route:US22;zone-route:t3-great-lakes:US22,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
