tier,region_id,route,segment_bundle_id,bundle_status,service_class,map_id,scenario_hook,incident_lever,upgrade_lever,restitch_lever,release_gate,qualification_map_treatment,qualification_gate_policy,qualification_game_use,pavement_debt_cost_m,pavement_debt_class,pavement_debt_basis,source_artifacts,binding_status,next_artifact,validation_status
T2,component-0,I110,US.HWYBUNDLE.D6B01122CB05A1BA,bundle-ready,unclassified,,,,,,,,,,40.0,repair-debt,route-level pavement debt rollup across 4 bundle(s) pending candidate bundle materialization,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
T2,component-0,I15,US.HWYBUNDLE.C2D3083E77EF1CAE,bundle-ready,connector,beck-schematic-t2-only,T2 bridge between parent trunks,reroute pressure and ordinary service disruption,upgrade to transfer-spine when repeated incidents bind between T1 hubs,restitch to nearest T1/T2 transfer stop,beck-t2-service-standards gate plus beck-t2-diagnostics structural gate,draw as normal T2 service for its class,accepted when structural diagnostics pass,"default playable service for incidents, upgrades, and restitches",0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,bundle-bound,data/game/t2-scenario-hooks.csv,pass
T2,component-0,I195,US.HWYBUNDLE.F09BBE026AC0506F,bundle-ready,unclassified,,,,,,,,,,0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
T2,component-0,I205,US.HWYBUNDLE.23CC0D7CE82B5A66,bundle-ready,unclassified,,,,,,,,,,0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
T2,component-1,I22,US.HWYBUNDLE.9CC789DC10417A5A,bundle-ready,compact-service,beck-schematic-t2-only,short local service around dense stop areas,localized access disruption and shuttle pressure,upgrade stop spacing or promote local transfer when demand persists,restitch inside local cluster without changing national trunk role,beck-t2-service-standards gate plus beck-t2-diagnostics structural gate,draw as normal T2 service for its class,accepted when structural diagnostics pass,"default playable service for incidents, upgrades, and restitches",0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,bundle-bound,data/game/t2-scenario-hooks.csv,pass
T2,component-0,I220,US.HWYBUNDLE.3940FBF995BBBC72,needs-stop-chain,unclassified,,,,,,,,,,35.0,repair-debt,route-level pavement debt rollup across 2 bundle(s) pending candidate bundle materialization,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
T2,component-0,I225,US.HWYBUNDLE.04673225D03E1ABF,bundle-ready,unclassified,,,,,,,,,,0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
T2,component-0,I24,US.HWYBUNDLE.9CC783DC10417028,bundle-ready,connector,beck-schematic-t2-only,T2 bridge between parent trunks,reroute pressure and ordinary service disruption,upgrade to transfer-spine when repeated incidents bind between T1 hubs,restitch to nearest T1/T2 transfer stop,beck-t2-service-standards gate plus beck-t2-diagnostics structural gate,draw as normal T2 service for its class,accepted when structural diagnostics pass,"default playable service for incidents, upgrades, and restitches",0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,bundle-bound,data/game/t2-scenario-hooks.csv,pass
T2,component-0,I240,US.HWYBUNDLE.A6BC2D367A84A052,bundle-ready,unclassified,,,,,,,,,,0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
T2,component-0,I25,US.HWYBUNDLE.09AF27B5A419364E,bundle-ready,transfer-spine,beck-schematic-t2-only,T2 line carrying many interchange or transfer stops,throughput-sensitive incident and transfer overload,stage toward thicker service or T1 candidate review when repeated overload appears,restitch by preserving transfer stops first,beck-t2-service-standards gate plus beck-t2-diagnostics review gate,draw as normal T2 service for its class,accepted when structural diagnostics pass,"default playable service for incidents, upgrades, and restitches",0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,bundle-bound,data/game/t2-scenario-hooks.csv,pass
T2,component-0,I264,US.HWYBUNDLE.394EF7F995C7F302,needs-stop-chain,unclassified,,,,,,,,,,0.0,none,no pavement debt row joined,data/t2-service-selection.csv;data/national-segment-bundles.csv;data/game/t2-service-overlays.csv,service-class-held-known,data/game/t2-service-overlays.csv,review
