state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
arizona,AZ-SAMPLE-I10,I-10,California gateway,New Mexico gateway,ADOT,interstate,T1,R,Desert statewide trunk and Phoenix/Tucson/border reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate heat incident exposure alternate-route penalty and freight reliability,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arizona,AZ-SAMPLE-I17,I-17,Phoenix,Flagstaff,ADOT,interstate,T1,R,Phoenix-to-northern Arizona trunk and mountain access promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate closure history grade/weather recovery and fallback options,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arizona,AZ-SAMPLE-US93,US 93,Phoenix,Las Vegas gateway,ADOT,US-highway,T2,R,Northwest gateway and interstate load-shedding connector,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck reliability and Phoenix-to-California/Nevada alternate role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arizona,AZ-SAMPLE-US191,US 191,Southeast Arizona,Northeast Arizona,ADOT,US-highway,T3,R,Rural/eastern Arizona access and tribal-region continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation emergency access and service-node coverage,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arizona,AZ-SAMPLE-NOGALES,Nogales border access,Nogales gateway,Tucson tier node,border-or-local,terminal-access,T4,,Border terminal and inspection access candidate,SSF-005|SSF-007,source-needed,Validate border crossing queue access constraints and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arizona,AZ-SAMPLE-MAINT,example maintained desert state route,rural-a,rural-b,ADOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
colorado,CO-SAMPLE-I25,I-25,Fort Collins,Pueblo,CDOT,interstate,T1,R,Front Range trunk and statewide urban reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure and parallel state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
colorado,CO-SAMPLE-I70,I-70,Denver,Grand Junction,CDOT,interstate,T1,R,Mountain pass and Western Slope trunk/resilience promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate pass closure history alternate capacity and recovery-time evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
colorado,CO-SAMPLE-US50,US 50,Pueblo,Grand Junction,CDOT,US-highway,T2,R,Southern mountain and Western Slope redundancy connector,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck suitability pass constraints and fallback role to I-70,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
colorado,CO-SAMPLE-US160,US 160,Durango,Alamosa,CDOT,US-highway,T3,R,Southwest rural/mountain access continuity candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate winter pass exposure rural isolation and emergency access role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
colorado,CO-SAMPLE-DIA,Denver airport access,Denver airport,Denver tier node,airport-or-local,terminal-access,T4,,Airport cargo/passenger terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints local bottlenecks and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
colorado,CO-SAMPLE-X,example seasonal local pass road,pass-a,pass-b,state-or-local,seasonal-local-road,X,,Outside current state service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting seasonal local geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
tennessee,TN-SAMPLE-I40,I-40,Memphis,Knoxville,TDOT,interstate,T1,R,West-to-east Tennessee trunk and statewide freight reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure mountain/river recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
tennessee,TN-SAMPLE-I24,I-24,Nashville,Chattanooga,TDOT,interstate,T1,R,Middle-to-southeast trunk and regional gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate interchange exposure and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
tennessee,TN-SAMPLE-US64,US 64,Memphis,Chattanooga,TDOT,US-highway,T2,R,Southern cross-state connector and interstate redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity truck constraints and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
tennessee,TN-SAMPLE-US441,US 441,Knoxville,Smokies gateway,TDOT,US-highway,T3,R,Appalachian access and rural/tourism resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate rural isolation tourism access and mountain closure recovery,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
tennessee,TN-SAMPLE-PORT-MEM,Memphis river terminal access,Memphis river terminals,Memphis tier node,terminal-or-local,terminal-access,T4,,River terminal and intermodal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
tennessee,TN-SAMPLE-MAINT,example maintained rural state route,rural-a,rural-b,TDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
missouri,MO-SAMPLE-I70,I-70,Kansas City,St. Louis,MoDOT,interstate,T1,R,Statewide bookend trunk and cross-state reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident/work-zone history and US/state route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
missouri,MO-SAMPLE-I44,I-44,St. Louis,Joplin,MoDOT,interstate,T1,R,Southwest gateway and Ozarks trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate closure exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
missouri,MO-SAMPLE-US63,US 63,Kirksville,Jefferson City,MoDOT,US-highway,T2,R,North-central to capital connector and state-system redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity rural access and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
missouri,MO-SAMPLE-MO34,MO 34,Ozark foothills,Southeast Missouri,MoDOT,state-highway,T3,R,Southeast rural and river access continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation flood exposure and bridge constraints,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
missouri,MO-SAMPLE-PORT-STL,St. Louis river terminal access,St. Louis river terminals,St. Louis tier node,terminal-or-local,terminal-access,T4,,Mississippi river terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction river crossing constraints and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
missouri,MO-SAMPLE-MAINT,example maintained rural state route,rural-a,rural-b,MoDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
