selection_docket_id,split_plan_id,route,blocked_segment_bundle_id,candidate_segment_bundle_id,state_scope,candidate_member_count,candidate_length_miles,selection_decision,selection_action,evidence_requirement,blocked_claims_before,blocked_claims_after,blocker_delta,next_artifact,validation_status
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBAB11FF37E74DA,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCBAB11FF37E74DA,FL,1,1.2,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBE8A1FF3821B6C,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCBE8A1FF3821B6C,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCBE8A1FF3821B6C,GA,2,120.5,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26E1FF39294E2,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCD26E1FF39294E2,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCD26E1FF39294E2,MA,6,55.2,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26A1FF3928E16,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCD26A1FF3928E16,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCD26A1FF3928E16,ME,6,105.4,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD64B1FF3964240,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCD64B1FF3964240,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCD64B1FF3964240,NJ,8,5.7,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD65E1FF3966289,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCD65E1FF3966289,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCD65E1FF3966289,NY,4,14.2,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCDCA21FF39B41C3,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCDCA21FF39B41C3,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCDCA21FF39B41C3,PA,22,187.1,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCE7541FF3A4C4BE,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCE7541FF3A4C4BE,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCE7541FF3A4C4BE,SC,4,28.0,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCF1861FF3AD6E39,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA-USHWYBUNDLEBCF1861FF3AD6E39,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCF1861FF3AD6E39,VA,31,115.3,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDSELECT-T2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE151E853156D7ED4B,T2STITCHEDSPLIT-T2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4B-USHWYBUNDLE151E853156D7ED4B,I664,US.HWYBUNDLE.151E853156D7ED4B,US.HWYBUNDLE.151E853156D7ED4B,NC,1,5.7,evidence-needed,collect-state-scope-evidence-before-decision,manual route-family service continuity evidence before in-scope or rejected status,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
