country,map_id,source_data,renderer,svg_path,png_path,width,height,current_posture,held_claims
china,china-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/international/china-market-system-v1.svg,maps/international/china-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
india,india-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/international/india-market-system-v1.svg,maps/international/india-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
texas,texas-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/texas-market-system-v1.svg,maps/state/texas-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
iowa,iowa-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/iowa-market-system-v1.svg,maps/state/iowa-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
florida,florida-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/florida-market-system-v1.svg,maps/state/florida-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
california,california-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/california-market-system-v1.svg,maps/state/california-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
new-york,new-york-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/new-york-market-system-v1.svg,maps/state/new-york-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
illinois,illinois-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/illinois-market-system-v1.svg,maps/state/illinois-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
georgia,georgia-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/georgia-market-system-v1.svg,maps/state/georgia-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
pennsylvania,pennsylvania-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/pennsylvania-market-system-v1.svg,maps/state/pennsylvania-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
ohio,ohio-market-system-v1,data/international-market-system-map-v1.csv,tools/render_international_market_system_maps.py,maps/state/ohio-market-system-v1.svg,maps/state/ohio-market-system-v1.png,2200,1320,presentation_market_system_generated_validation_held,official_network|legal_sla|construction|cost|numeric_roi|funding_eligibility|compliance|endorsement|external_validation|public_readiness
