catalog_id,terminal_district,route_task_count,source_family,source_access_mode,required_proof_fields,acquisition_status,proof_blocker,cache_policy_artifact,next_artifact,validation_status
T4SOURCECATALOG-ATLANTAHULSEY,Atlanta Hulsey,3,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-CHARLOTTEINTERMODAL,Charlotte Intermodal,2,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-CHICAGOINTERMODALCOMPLEX,Chicago Intermodal Complex,4,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-COLUMBUSSOUTH,Columbus South,8,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-DENVERLOGISTICSHUB,Denver Logistics Hub,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-DETROITLIVERNOIS,Detroit Livernois,5,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-HOUSTONENGLEWOOD,Houston Englewood,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-INDIANAPOLISAVON,Indianapolis Avon,3,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-KANSASCITYGATEWAY,Kansas City Gateway,6,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-LOSANGELESLONGBEACH,Los Angeles/Long Beach,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-LOUISVILLEKENTUCKYONE,Louisville KentuckyOne,3,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-MEMPHISINTERMODAL,Memphis Intermodal,4,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-MIAMIHIALEAH,Miami Hialeah,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
