attachment_review_id,artifact_attachment_id,source_capture_id,proof_intake_id,proof_artifact_id,acquisition_id,queue_id,route,zone_id,source_artifact_reference,review_decision,evidence_review_status,proof_acceptance_status,optimization_return_status,review_reason,blocker_claims_before,blocker_claims_after,claim_blocker_delta,next_artifact,validation_status
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4CONTACT-T3GREATLAKES-I115,I-115,t3-great-lakes,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI129,T4CONTACT-T3GREATLAKES-I129,I-129,t3-great-lakes,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI135,T4CONTACT-T3MOUNTAINWEST-I135,I-135,t3-mountain-west,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3SOUTHEASTI140,T4CONTACT-T3SOUTHEAST-I140,I-140,t3-southeast,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MIDSOUTHI169,T4CONTACT-T3MIDSOUTH-I169,I-169,t3-mid-south,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3SOUTHEASTI175,T4CONTACT-T3SOUTHEAST-I175,I-175,t3-southeast,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI176,T4CONTACT-T3GREATLAKES-I176,I-176,t3-great-lakes,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI180,T4CONTACT-T3GREATLAKES-I180,I-180,t3-great-lakes,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MIDSOUTHI181,T4CONTACT-T3MIDSOUTH-I181,I-181,t3-mid-south,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
T4ACCESSATTACHREVIEW-T4ACCESSATTACHT4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSATTACH-T4ACCESSCAPTURET4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSCAPTURE-T4ACCESSINTAKET4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3SOUTHEASTI185,T4CONTACT-T3SOUTHEAST-I185,I-185,t3-southeast,source-needed,held-no-source-artifact,not-reviewed,not-accepted,return-to-optimizer-held-known,proof artifact attachment remains source-needed; terminal-access proof cannot be accepted,map;publication;upgrade,map;publication;upgrade,0,data/optimizer-residual-blocker-backlog.csv,review
