target_id,decision_id,subject_id,segment_bundle_id,route,decision,binding_status,bundle_status,service_class,qualification_gate_policy,qualification_game_use,pavement_debt_cost_m,pavement_debt_class,blocks_claims,repair_class,repair_action,required_artifact,next_artifact,target_status,validation_status
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,US.HWYBUNDLE.D6B01122CB05A1BA,US.HWYBUNDLE.D6B01122CB05A1BA,I110,held,service-class-held-known,bundle-ready,unclassified,,,40.0,repair-debt,game;incident;publication;sla;transit;upgrade,service-class,repair-service-class-before-game-overlay,data/beck-t2-diagnostics.csv,data/game/t2-service-overlays.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,US.HWYBUNDLE.F09BBE026AC0506F,US.HWYBUNDLE.F09BBE026AC0506F,I195,held,service-class-held-known,bundle-ready,unclassified,,,0.0,none,game;incident;publication;upgrade,service-class,repair-service-class-before-game-overlay,data/beck-t2-diagnostics.csv,data/game/t2-service-overlays.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,US.HWYBUNDLE.23CC0D7CE82B5A66,US.HWYBUNDLE.23CC0D7CE82B5A66,I205,held,service-class-held-known,bundle-ready,unclassified,,,0.0,none,game;incident;publication;upgrade,service-class,repair-service-class-before-game-overlay,data/beck-t2-diagnostics.csv,data/game/t2-service-overlays.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,US.HWYBUNDLE.3940FBF995BBBC72,US.HWYBUNDLE.3940FBF995BBBC72,I220,held,service-class-held-known,needs-stop-chain,unclassified,,,35.0,repair-debt,game;incident;publication;upgrade,stop-chain,author-or-demote-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,US.HWYBUNDLE.04673225D03E1ABF,US.HWYBUNDLE.04673225D03E1ABF,I225,held,service-class-held-known,bundle-ready,unclassified,,,0.0,none,game;incident;publication;upgrade,service-class,repair-service-class-before-game-overlay,data/beck-t2-diagnostics.csv,data/game/t2-service-overlays.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,US.HWYBUNDLE.A6BC2D367A84A052,US.HWYBUNDLE.A6BC2D367A84A052,I240,held,service-class-held-known,bundle-ready,unclassified,,,0.0,none,game;incident;publication;upgrade,service-class,repair-service-class-before-game-overlay,data/beck-t2-diagnostics.csv,data/game/t2-service-overlays.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,US.HWYBUNDLE.394EF7F995C7F302,US.HWYBUNDLE.394EF7F995C7F302,I264,held,service-class-held-known,needs-stop-chain,unclassified,,,0.0,none,game;incident;publication;upgrade,stop-chain,author-or-demote-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,US.HWYBUNDLE.3951F9F995CA2C3F,US.HWYBUNDLE.3951F9F995CA2C3F,I270,held,service-class-held-known,needs-stop-chain,unclassified,,,0.0,none,game;incident;publication;upgrade,stop-chain,author-or-demote-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,US.HWYBUNDLE.3951F4F995CA23C0,US.HWYBUNDLE.3951F4F995CA23C0,I275,held,service-class-held-known,needs-stop-chain,unclassified,,,0.0,none,game;incident;publication;upgrade,stop-chain,author-or-demote-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCBAB11FF37E74DA,I295,held,service-class-held-known,needs-stitched-members,unclassified,,,0.0,none,game;incident;publication;upgrade,stitched-member,stitch-member-segments-before-bundle-pass,data/tier-segment-candidates.csv,data/national-segment-bundles.csv,repair-needed,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,US.HWYBUNDLE.9CCA86DC1043AB18,US.HWYBUNDLE.9CCA86DC1043AB18,I37,repair-needed,bundle-bound-review,needs-stop-chain,compact-service,accepted when structural diagnostics pass,"default playable service for incidents, upgrades, and restitches",0.0,none,game;incident;publication;upgrade,stop-chain,author-or-demote-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,repair-needed,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEC1E1B532E4FE8371,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEC1E1B532E4FE8371,US.HWYBUNDLE.C1E1B532E4FE8371,US.HWYBUNDLE.C1E1B532E4FE8371,I610,held,service-class-held-known,needs-terminal-stop,unclassified,,,0.0,none,game;incident;publication;upgrade,terminal-stop,author-terminal-stop-before-bundle-pass,data/t2-service-selection.csv,data/national-segment-bundles.csv,repair-needed,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE174D6918A9C2A6B2,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE174D6918A9C2A6B2,US.HWYBUNDLE.174D6918A9C2A6B2,US.HWYBUNDLE.174D6918A9C2A6B2,I635,held,service-class-held-known,needs-stop-chain,unclassified,,,0.0,none,game;incident;publication;upgrade,stop-chain,author-or-demote-stop-chain-before-bundle-pass,data/national-segment-registry.csv,data/national-segment-bundles.csv,held,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4B,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4B,US.HWYBUNDLE.151E853156D7ED4B,US.HWYBUNDLE.151E853156D7ED4B,I664,held,service-class-held-known,needs-stitched-members,unclassified,,,0.0,none,game;incident;publication;upgrade,stitched-member,stitch-member-segments-before-bundle-pass,data/tier-segment-candidates.csv,data/national-segment-bundles.csv,repair-needed,review
T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE5BC12763752E2BEA,T2GAMEOPSDECISION-T2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE5BC12763752E2BEA,US.HWYBUNDLE.5BC12763752E2BEA,US.HWYBUNDLE.5BC12763752E2BEA,I680,held,service-class-held-known,bundle-ready,unclassified,,,0.0,none,game;incident;publication;upgrade,service-class,repair-service-class-before-game-overlay,data/beck-t2-diagnostics.csv,data/game/t2-service-overlays.csv,held,review
