tier,source_selector,region_id,route,segment_bundle_id,stitch_group_id,national_segment_id,edge_id,edge_sequence,state,length_miles,iri_m_per_km,max_iri_m_per_km,pavement_status,repair_action,freight_ride_requirement,transit_ride_requirement,source_contract,next_artifact,validation_status
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.A6087DE188D7F8B6,2,1,,1.9,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.AE141ACCCF7F2740,3,2,,155.2,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.7636F4B5A3E4530E,4,3,,155.2,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.39ED53027ADFD8CA,5,4,,6.8,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.91D9E06C25177064,6,5,,95.3,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.406A314413925002,7,6,,37.2,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.C519ACE5C574EE63,8,7,,28.5,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.B52AFE75C8B8DCDD,9,8,,28.5,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.5C3F980CD4BAB70A,10,9,,24.5,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
T1,t1-line-selector,national,I10,US.HWYBUNDLE.6F7327616A59E16C,US.HWYSTITCH.9C2C3B2CA515BCE5,US.HWYSEG.5F8AD005A37C82EF,11,10,,22.0,0.96,1.50,pavement-floor-pass,no pavement repair required before promotion,"No recurring roughness that forces truck speed derate, cargo damage risk, or relay-time padding on promise segments",Intercity bus or high-capacity coach service can maintain scheduled highway speed without ride-quality delay,HPMS IRI joined to tier-segment-candidates plus state pavement condition feeds where available,data/national-segment-registry.csv,pass
