route,witness_type,node_class,repair_action,required_artifact,exception_type,exception_evidence_level,resolution_action,resolution_basis,next_artifact,validation_status
I110,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I15,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I195,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,missing_graph_geometry,missing_graph_data,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I205,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,missing_graph_geometry,missing_graph_data,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I22,graph-contact-needed,missing_graph_data,fix-graph-contact-or-demote,data/tier-contact-witnesses.csv,,,hold-for-graph-contact-repair,missing-t1-contact-evidence,data/tier-contact-witnesses.csv,review
I220,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,demote,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I225,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I24,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I240,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I25,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,regional_terminal,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I264,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I270,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,metro_beltway_relief,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I275,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,demote,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I285,terminal-exception-needed,one_ended_feeder,terminal-exception-or-demote,data/tier-node-exceptions.csv,metro_beltway_relief,heuristic,hold-for-relief-evidence-or-demotion,metro-beltway-relief-needs-source-backed-contact,data/atri-bottlenecks.csv,review
I29,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I295,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,missing_graph_geometry,missing_graph_data,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I30,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I37,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,,,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I405,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,metro_beltway_relief,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I44,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,,,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I49,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I495,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I59,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I610,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I635,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,demote,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I65,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,port_terminal,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I664,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I680,parent-region-review,relief_loop,keep-with-parent-region-review,data/tier-candidate-columns.csv,demote,heuristic,move-to-candidate-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv,pass
I76,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I77,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I81,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
I85,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US2,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,demote,heuristic,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US287,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US30,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US6,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US70,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US80,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US83,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
US90,regionalizer-ready,trunk_connector,keep-for-regionalizer,data/tier-candidate-columns.csv,,,accept-contact-witness,selected-regionalizer-contact,data/tier-candidate-columns.csv,pass
